tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
1998CA-ST15-04174,1998CA-Bmu-04174,Balaenoptera musculus,1998-08-24 21:45:00.000,1998-11-07 03:17:49.000,adult, ,implant,33.196,-119.183,1998CA-04174,none,"San Nicolas Island, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-00827,1998CA-Bmu-00827,Balaenoptera musculus,1998-08-26 21:52:00.000,1998-09-13 03:33:35.000,adult, ,implant,33.386,-119.525,1998CA-00827,none,"San Nicolas Island, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-01390,1998CA-Bmu-01390,Balaenoptera musculus,1998-08-28 22:04:00.000,1998-08-29 16:22:20.000,adult, ,implant,37.607,-123.054,1998CA-01390,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-10823,1998CA-Bmu-10823,Balaenoptera musculus,1998-08-31 22:18:00.000,1999-02-14 15:58:22.000,adult, ,implant,32.902,-119.263,1998CA-10823,none,"Tanner Bank, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-04175,1998CA-Bmu-04175,Balaenoptera musculus,1998-10-10 20:04:00.000,1998-12-10 16:22:21.000,adult, ,implant,41.819,-124.474,1998CA-04175,none,"Point St. George, CA","Telonics, Inc",ST15,satellite
1998CA-ST15-00823,1998CA-Bmu-00823,Balaenoptera musculus,1998-10-10 22:58:00.000,1998-12-10 11:00:54.000,adult, ,implant,41.916,-124.426,1998CA-00823,none,"Point St. George, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-23033,1999CA-Bmu-23033,Balaenoptera musculus,1999-07-20 18:18:00.000,1999-08-28 00:04:00.000,adult, ,implant,34.14,-120.0,1999CA-23033,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00830,1999CA-Bmu-00830,Balaenoptera musculus,1999-07-21 18:58:00.000,1999-08-21 23:30:33.000,adult, ,implant,34.12,-120.08,1999CA-00830,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-23043,1999CA-Bmu-23043,Balaenoptera musculus,1999-07-22 15:56:00.000,1999-12-17 16:33:51.000,adult, ,implant,34.12,-120.09,1999CA-23043,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-23038,1999CA-Bmu-23038,Balaenoptera musculus,1999-07-22 16:17:00.000,1999-09-03 23:37:31.000,adult, ,implant,34.12,-120.1,1999CA-23038,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00832,1999CA-Bmu-00832,Balaenoptera musculus,1999-07-23 18:27:00.000,1999-08-06 13:57:28.000,adult, ,implant,34.12,-120.11,1999CA-00832,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-10824,1999CA-Bmu-10824,Balaenoptera musculus,1999-07-27 19:36:00.000,1999-11-16 16:39:40.000,adult, ,implant,34.12,-120.05,1999CA-10824,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00834,1999CA-Bmu-00834,Balaenoptera musculus,1999-07-29 19:29:00.000,1999-11-22 03:20:13.000,adult, ,implant,34.15,-119.97,1999CA-00834,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00837,1999CA-Bmu-00837,Balaenoptera musculus,1999-08-01 16:52:00.000,1999-10-01 02:37:50.000,adult, ,implant,34.13,-119.91,1999CA-00837,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00838,1999CA-Bmu-00838,Balaenoptera musculus,1999-10-02 21:42:00.000,2000-05-17 22:18:11.000,adult, ,implant,34.135,-120.604,1999CA-00838,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-04173,1999CA-Bmu-04173,Balaenoptera musculus,1999-10-02 22:42:00.000,2000-02-11 13:58:38.000,adult, ,implant,34.159,-120.565,1999CA-04173,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-04176,1999CA-Bmu-04176,Balaenoptera musculus,1999-10-03 16:42:00.000,2000-05-04 02:22:21.000,adult, ,implant,34.107,-120.369,1999CA-04176,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-23031,1999CA-Bmu-23031,Balaenoptera musculus,1999-10-03 16:59:00.000,1999-12-15 01:38:25.000,adult, ,implant,34.113,-120.394,1999CA-23031,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-02082,1999CA-Bmu-02082,Balaenoptera musculus,1999-10-03 23:17:00.000,1999-11-03 14:26:35.000,adult, ,implant,34.053,-120.605,1999CA-02082,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-10821,1999CA-Bmu-10821,Balaenoptera musculus,1999-10-08 18:16:00.000,1999-12-01 14:08:58.000,adult, ,implant,34.019,-120.575,1999CA-10821,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-04172,1999CA-Bmu-04172,Balaenoptera musculus,1999-10-08 18:43:00.000,2000-01-10 10:27:54.000,adult, ,implant,34.032,-120.589,1999CA-04172,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-23030,1999CA-Bmu-23030,Balaenoptera musculus,1999-10-08 18:56:00.000,2000-03-27 15:37:10.000,adult, ,implant,34.033,-120.593,1999CA-23030,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00849,1999CA-Bmu-00849,Balaenoptera musculus,1999-10-08 20:22:00.000,1999-11-14 22:23:25.000,adult, ,implant,34.035,-120.575,1999CA-00849,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-00845,1999CA-Bmu-00845,Balaenoptera musculus,1999-10-08 20:51:00.000,1999-10-10 22:25:38.000,adult, ,implant,34.038,-120.58,1999CA-00845,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
1999CA-ST15-01388,1999CA-Bmu-01388,Balaenoptera musculus,1999-10-08 23:06:00.000,2000-06-26 02:36:17.000,adult, ,implant,34.017,-120.581,1999CA-01388,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-10827,2000CA-Bmu-10827,Balaenoptera musculus,2000-10-04 19:14:00.000,2000-10-07 02:20:35.000,adult, ,implant,37.6,-123.02,2000CA-10827,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-10823,2000CA-Bmu-10823,Balaenoptera musculus,2000-10-04 19:51:00.000,2000-10-05 15:23:29.000,adult, ,implant,37.62,-123.04,2000CA-10823,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-00827,2000CA-Bmu-00827,Balaenoptera musculus,2000-10-04 20:53:00.000,2000-10-07 02:20:06.000,adult, ,implant,37.62,-123.04,2000CA-00827,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-10832,2000CA-Bmu-10832,Balaenoptera musculus,2000-10-04 21:55:00.000,2001-07-15 23:30:23.000,adult,m,implant,37.62,-123.03,2000CA-10832,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-10828,2000CA-Bmu-10828,Balaenoptera musculus,2000-10-05 23:37:00.000,2000-12-02 23:22:28.000,adult,m,implant,37.61,-123.02,2000CA-10828,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-01386,2000CA-Bmu-01386,Balaenoptera musculus,2000-10-05 23:59:00.000,2001-02-09 00:00:51.000,adult, ,implant,37.61,-123.02,2000CA-01386,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-10825,2000CA-Bmu-10825,Balaenoptera musculus,2000-10-06 00:09:00.000,2000-10-23 23:48:31.000,adult, ,implant,37.61,-123.02,2000CA-10825,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-00826,2000CA-Bmu-00826,Balaenoptera musculus,2000-10-06 00:24:00.000,2000-10-11 12:32:56.000,adult, ,implant,37.61,-123.02,2000CA-00826,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-23029,2000CA-Bmu-23029,Balaenoptera musculus,2000-10-06 22:36:00.000,2000-12-04 02:28:45.000,adult, ,implant,37.52,-122.98,2000CA-23029,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-01390,2000CA-Bmu-01390,Balaenoptera musculus,2000-10-07 17:38:00.000,2001-07-08 12:43:16.000,adult, ,implant,37.58,-123.01,2000CA-01390,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-23042,2000CA-Bmu-23042,Balaenoptera musculus,2000-10-07 22:19:00.000,2000-10-09 15:33:13.000,adult, ,implant,37.57,-123.0,2000CA-23042,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2000CA-ST15-23035,2000CA-Bmu-23035,Balaenoptera musculus,2000-10-07 22:43:00.000,2000-10-10 18:05:52.000,adult, ,implant,37.57,-123.0,2000CA-23035,none,"Farallon Islands, CA","Telonics, Inc",ST15,satellite
2001MX-ST15-10831,2001MX-Bmu-10831,Balaenoptera musculus,2001-03-26 20:26:00.000,2001-10-26 00:01:23.000,adult, ,implant,25.933,-111.095,2001MX-10831,none,"Loreto, BCS, Mexico","Telonics, Inc",ST15,satellite
