tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,attachment-type,deploy-on-latitude,deploy-on-longitude,deployment-id,manipulation-type,study-site,tag-manufacturer-name,tag-model,tag-readout-method
2005CA-ST15-00849,2005CA-Bmu-00849,Balaenoptera musculus,2005-08-14 18:01:00.000,2005-10-03 23:29:26.000,adult,f,implant,36.692,-121.996,2005CA-00849,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-10830,2005CA-Bmu-10830,Balaenoptera musculus,2005-08-14 20:23:00.000,2005-12-01 02:26:35.000,adult,m,implant,36.533,-121.988,2005CA-10830,none,"Carmel, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-01389,2005CA-Bmu-01389,Balaenoptera musculus,2005-08-14 21:07:00.000,2005-10-22 12:50:09.000,adult, ,implant,36.594,-122.017,2005CA-01389,none,"Carmel, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-10821,2005CA-Bmu-10821,Balaenoptera musculus,2005-08-14 21:39:00.000,2006-02-17 23:26:17.000,adult, ,implant,36.558,-121.989,2005CA-10821,none,"Carmel, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-10823,2005CA-Bmu-10823,Balaenoptera musculus,2005-08-15 18:00:00.000,2005-11-17 15:22:41.000,adult, ,implant,36.685,-121.998,2005CA-10823,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-10820,2005CA-Bmu-10820,Balaenoptera musculus,2005-08-15 20:00:00.000,2005-09-25 02:25:00.000,adult, ,implant,36.684,-122.009,2005CA-10820,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-01388,2005CA-Bmu-01388,Balaenoptera musculus,2005-08-15 20:45:00.000,2005-09-26 23:03:35.000,adult,m,implant,36.68,-122.008,2005CA-01388,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-10826,2005CA-Bmu-10826,Balaenoptera musculus,2005-08-16 00:55:00.000,2005-10-24 23:17:50.000,adult,m,implant,36.672,-122.002,2005CA-10826,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-00845,2005CA-Bmu-00845,Balaenoptera musculus,2005-08-16 01:40:00.000,2005-09-11 02:50:25.000,adult,f,implant,36.685,-121.998,2005CA-00845,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-01390,2005CA-Bmu-01390,Balaenoptera musculus,2005-08-18 22:12:00.000,2006-04-10 23:45:42.000,adult,m,implant,36.668,-122.015,2005CA-01390,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-00834,2005CA-Bmu-00834,Balaenoptera musculus,2005-08-19 16:50:00.000,2005-11-21 12:40:38.000,adult,f,implant,36.658,-122.016,2005CA-00834,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2005CA-ST15-02082,2005CA-Bmu-02082,Balaenoptera musculus,2005-08-19 22:32:00.000,2005-08-30 02:37:13.000,adult, ,implant,36.715,-121.979,2005CA-02082,none,"Monterrey Bay, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-00825,2006CA-Bmu-00825,Balaenoptera musculus,2006-09-12 22:33:00.000,2006-09-13 00:51:40.000,adult,m,implant,34.056,-120.598,2006CA-00825,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-00832,2006CA-Bmu-00832,Balaenoptera musculus,2006-09-12 22:57:00.000,2006-12-09 03:44:04.000,adult, ,implant,34.054,-120.602,2006CA-00832,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-23036,2006CA-Bmu-23036,Balaenoptera musculus,2006-09-12 23:41:00.000,2006-11-30 03:56:14.000,adult,m,implant,34.067,-120.607,2006CA-23036,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-00838,2006CA-Bmu-00838,Balaenoptera musculus,2006-09-12 23:51:00.000,2006-11-08 03:58:28.000,adult, ,implant,34.069,-120.601,2006CA-00838,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-04175,2006CA-Bmu-04175,Balaenoptera musculus,2006-09-13 00:13:00.000,2007-08-05 23:51:58.000,adult,m,implant,34.101,-120.615,2006CA-04175,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-10839,2006CA-Bmu-10839,Balaenoptera musculus,2006-09-14 17:37:00.000,2006-10-21 23:09:55.000,adult,m,implant,34.117,-120.613,2006CA-10839,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-10831,2006CA-Bmu-10831,Balaenoptera musculus,2006-09-14 17:50:00.000,2007-06-15 00:00:58.000,adult, ,implant,34.108,-120.608,2006CA-10831,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-02083,2006CA-Bmu-02083,Balaenoptera musculus,2006-09-14 18:08:00.000,2007-06-28 22:57:31.000,adult,f,implant,34.101,-120.613,2006CA-02083,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-10840,2006CA-Bmu-10840,Balaenoptera musculus,2006-09-14 18:55:00.000,2007-04-13 23:38:02.000,adult, ,implant,34.109,-120.606,2006CA-10840,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-10834,2006CA-Bmu-10834,Balaenoptera musculus,2006-09-14 21:25:00.000,2006-09-18 02:09:35.000,adult, ,implant,34.103,-120.605,2006CA-10834,none,"San Miguel Island, CA","Telonics, Inc",ST15,satellite
2006CA-ST15-23039,2006CA-Bmu-23039,Balaenoptera musculus,2006-09-26 20:51:00.000,2007-01-31 12:46:59.000,adult,m,implant,34.524,-120.984,2006CA-23039,none,"Point Arguello, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-04174,2007CA-Bmu-04174,Balaenoptera musculus,2007-09-06 21:10:00.000,2008-05-05 18:46:40.000,adult,f,implant,34.153,-119.925,2007CA-04174,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
2007CA-ST15-05670,2007CA-Bmu-05670,Balaenoptera musculus,2007-09-06 22:19:00.000,2008-01-20 05:30:46.000,adult, ,implant,34.149,-119.968,2007CA-05670,none,"Santa Barbara Channel, CA","Telonics, Inc",ST15,satellite
